Código,Name,Faccao,Complexo,Pouco Expressivo
338,Oliveira Bueno,,,
339,Parque Acari,TCP,Acari,
340,Parque Anchieta,,,
341,Parque Bela Vista,ADA,Fazenda Botafogo,
342,Parque Columbia,,,
343,Parque São José,ADA,Fazenda Botafogo,
344,Parque Unidos,,,
345,Araguatins,,,
346,Rua Itatiba,,,
347,Rua Parnaíba,ADA,Jorge Turco,
348,Sossego - Alegria,CV,Jardim America,
349,Vila Beira Rio,CV,Jardim America,
350,Vila Esperança (RA - Pavuna),TCP,Acari,
351,Vila Eugênia,TCP,Moquico,
352,Vila Rica de Irajá,TCP,Acari,
353,Baronesa,,,
354,Francisco de Castro,,,
355,Júlio Otoni,CV,Pereirao,t
356,Morro da Coroa,TCP,Coroa,
357,Morro dos Prazeres,CV,Rio Comprido,
358,Ocidental Fallet,CV,Rio Comprido,
359,Travessa Vista Alegre,,,
360,Unidos de Santa Tereza,CV,Rio Comprido,
361,Angu Duro,Milicia,Tijuquinha,
362,Vista Alegre do Recreio,,,
363,Beira do Canal,,,
364,Cachorro Sentado,,,
365,Caminho do Bicho,,,
366,Caminho do Marinho,,,
367,Canal das Tachas,Milicia,Canal das Tachas,
368,Canal do Cortado,,,
369,Floresta da Barra da Tijuca,Milicia,Floresta da Barra,
370,Muzema,Milicia,Tijuquinha,
371,Restinga,,,
372,Rua São Tillon,,,
373,Sítio do Pai João,Milicia,Tijuquinha,
374,Tijuquinha,Milicia,Tijuquinha,
375,Vila Canoas,,,
376,Vila dos Crentes,,,
378,Associação Belfast São Geraldo,CV,Cidade de Deus,
379,Falange,TCP,Sapo,
380,Morro do Sossego (RA - Bangu),TCP,Sapo,
382,Saibreira,,,
383,Tancredo Neves (RA - Bangu),TCP,Sapo,
384,Vila Jurema,TCP,Jurema,
459,A.M. e Amigos do Fontela,,,
482,Condomínio Paco do Lumiar,,,
503,Beira Rio (RA - Realengo),TCP,Batam,
385,Vila Santa Luzia,TCP,Jurema,
386,Vila Mangueiral,,,
387,"Estrada dos Bandeirantes, nº 29.192",,,
388,A.M. do Rio Bonito,,,
390,Rio Morto,,,
391,Parque Real,,,
392,Travessa Sta Catarina-Vila dos Minerios,TCP,Vila Alianca,
393,Vila Olímpia,TCP,Vila Alianca,
394,Final Feliz,,,
395,Caminho do Padre,,,
396,Agrícola,Milicia,Floresta da Barra,
397,Fazenda,Milicia,Floresta da Barra,
398,Furnas,,,
399,Vila Maria,,,
400,Batuta de Cordovil,,,
401,Chega Mais,,,
402,Vila Itaocara,,,
403,Parque Nova Jerusalém,ADA,Pedreira,
404,Final Feliz II,TCP,Pedreira,
405,"Rua Embaú, nº 427",,,
406,Parque Raio de Sol,,,
407,Fazenda Velha,,,
408,Rua Doutor Fernando,,,
409,"Rua Oliveira Bueno, nº 832",,,
410,Beira Rio - Lot. Jardim Bela Vista (RA - Campo Grande),,,
411,Rua Madagascar,,,
412,Rua da Escadinha,,,
413,Rua do Barro,,,
414,Moquiço (RA - Cidade de Deus),,,
415,Jardim Moriçaba,,,
416,Joaquim Magalhães,,,
417,Vila 133,,,
418,Vila Lélio Boaventura,,,
419,Morro São Sebastião,,,
420,Tiqui,TCP,Sapo,
421,Murundú,,,
422,"Rua da Feira, nº 1.220",,,
423,Do Larguinho,,,
424,Beco da Usina,,,
425,Comandante Luis Souto,,,
426,Chacrinha do Mato Alto,,,
427,Chácara Flora,,,
428,Vila Santa Clara,,,
429,Curicica,Milicia,Curicica,
430,Vila Getúlio Vargas,,,
431,Vila Santa Mônica,,,
432,Nova Esperança (RA - Jacarepaguá),,,
433,Vila Pitimbu,,,
434,Comunidade São Francisco de Assis,,,
435,Fazenda Mato Alto,,,
436,Vila São Pedro,,,
437,Comunidade Estação da Mangueira (Amcema),CV,Mangueira,
438,André Cavalcanti,,,
439,Ladeira Santa Isabel,,,
440,Fazenda Catete,CV,Santo Amaro,
441,Rua São João,CV,Jacarezinho,
442,Tancredo Neves (RA - Jacarezinho),CV,Jacarezinho,
443,Vila da Paz (RA - Barra da Tijuca),Milicia,Tijuquinha,
444,Mourão Filho,CV,Alemão,
445,Ruth Ferreira,,,
446,Vila Pedra Bonita,,,
447,Parque Bom Menino,,,
448,Parque Jardim Metrô de Irajá,,,
449,Magno Martins,,,
450,Estrada da Saudade,CV,Vila Kennedy,
451,Vila Joaniza,CV,Barbante,
452,"Rua Budapeste, nº 66",TCP,Pichuna,
453,Maestro Arturo Toscanini,TCP,Querosene,t
454,Luiz Marcelino,CV,Rio Comprido,t
455,Caeté,,,
457,Vila Amizade,Milicia,Canal das Tachas,
458,Santa Luzia,,,
460,Vila Autódromo,Milicia,Vila Autodromo,
244,Comunidade Santa Rosa,,,
462,Cambalacho,Milicia,Tijuquinha,
464,Asa Branca,,,
465,Abadianas,,,
466,Santa Maura,,,
467,Virgolândia,,,
468,Vila Calmete,Milicia,Curicica,
469,Vila União da Curicica,Milicia,Curicica,
470,Santa Anastácia,Milicia,Curicica,
471,Santa Efigênia,CV,Cidade de Deus,
472,André Rocha,,,
473,Vilar São Sebastião,,,
474,Alto Bela Vista,,,
475,Vila Clarim,,,
476,A.M. e Comunidade Nª. Sª. de Fátima,,,
477,Santa Maria,,,
478,Jardim Boiúna,,,
479,Morro Bela Vista,,,
480,Inácio Dias (RA - Jacarepaguá),Milicia,Morro do 18,
481,Morro do Juca,,,
483,Jardim do Carmo,CV,Vila Cosmos,
484,Vila Pequirí,Milicia,Quitungo,
485,Parque Alvorada,CV,Alemao,
486,Vila Vitória (RA - Campo Grande),,,
487,Parque Rio D'Ouro,,,
488,Parque Conquista,CV,Caju,t
489,Vila Matinoré,CV,Jacarezinho,
490,Vila Jandira,CV,Jacarezinho,
491,Carlos Drumond de Andrade,CV,Jacarezinho,
492,Morro do Andaraí,Policia,Andarai,
493,Parque Chp,CV,Cidade Alta,t
494,Rua Mirataia,,,
495,Portugal Pequeno,,,
498,Vila Vitória (RA - São Cristóvão),,,
501,Roberto Morena,,,
502,Vila Capelinha,,,
504,Minha Deusa,TCP,Vila Alianca,
505,Vila Piquirobi,CV,Vila Kennedy,
506,Vila João Lopes,,,
507,Bairro Santo André,,,
508,Jardim Bárbara,ADA,Fazenda Botafogo,
509,São Bento,,,
510,Rua do Encanamento,,,
511,Parque Rafael de Oliveira,,,
513,Rafael de Oliveira,,,
514,Rua Cônego Boucher Pinto,,,
515,Vila Jardim Novo Realengo,,,
516,Vila do Almirante,,,
517,Parque Esperança (RA - Campo Grande),,,
518,Vila Esperança de Guadalupe,,,
519,Vila Moreti,TCP,Vila Alianca,
521,Vila Nova (RA - Realengo),,,
523,Bairro Carumbé,,,
524,Maranata,,,
525,Rua do Canal,TCP,Moquico,
527,Luiza Regadas,TCP,Querosene,t
528,Caminho da Reta,TCP,Moquico,
529,Fazenda Sapopemba,TCP,Moquico,
530,Rua Sérgio Silva,CV,Pavuna,
531,Vila Bereti,,,
532,Vila Triagem,CV,Mangueira,
533,Travessa Marques de Oliveira,,,
534,Rodo,Policia,Turano,
535,Morro do Bacalhau,,,
536,Assis Martins,,,
537,Morro da Cotia,CV,Lins,
538,Fazenda da Bica,Milicia,Campinho,
540,Alameda da Creche,,,
541,Bairro Nova Aguiar,,,
542,"Estrada Sargento Miguel Filho, nº 164",CV,Vila Kennedy,
543,Rua Santo Amos,,,
544,Estrada do Quitite,,,
545,Vila Matinha,CV,Alemao,
546,Palmares,,,
547,Bom Jardim de Cordovil,CV,Cidade Alta,t
548,"Rua 8W, 500",Milicia,Canal das Tachas,
549,Avenida das Lagoas,Milicia,Gardenia Azul,
550,"Estrada do Engenho d'Água, nº 260 Fundos",,,
551,Pedacinho do Céu,,,
552,Vila das Rosas,,,
553,Beco do Brizola,,,
554,Barreira,,,
